label,sample
book_name,The Whisperer in Darkness
book_name,The Haunter of the Dark
book_name,The Yellow Wallpaper
book_name,The Picture in the House
book_name,The Call of Cthulhu
book_name,One Small, Valuable Thing
book_name,Pickman’s Model
book_name,The Hound
book_name,The Cats of Ulthar
book_name,The Temple
book_name,Cool Air
book_name,From Beyond
book_name,The Statement of Randolph Carter
podcast_name,HPPodcraft
podcast_episode,Wentworth’s Day
podcast_episode,Skule Skerry
podcast_episode,The Owl’s Ear
podcast_episode,The Snail
podcast_episode,The Shadow Over Innsmouth
podcast_episode,The Tale of Satampra Zeiros
podcast_episode,The Whistling Room
podcast_episode,The Door of the Unreal
podcast_episode,The Lurker at the Threshold
podcast_episode,Jack
podcast_episode,The Lovecraft Comedy Quiz Show
podcast_episode,The Shunned House
podcast_episode,The White Wolf
podcast_episode,On the River
podcast_episode,Leiningen Versus the Ants
podcast_episode,The Last Test
podcast_episode,Special Thanks & Future Plans
podcast_episode,O Ugly Bird!
podcast_episode,The Repairer of Reputations
podcast_episode,The Cask of Amontillado
podcast_episode,The Dark Brotherhood
podcast_episode,Phillinion and Machates
podcast_episode,Strange Eons
podcast_episode,The Whisperer in Darkness
podcast_episode,Shadow & Silence
podcast_episode,The Hoard of the Gibbelins & How Nuth Would Have Practiced His Art Upon the Gnoles
podcast_episode,The Battery
podcast_episode,The Wondersmith
podcast_episode,Space
podcast_episode,The Return of the Sorcerer
podcast_episode,Worms of the Earth
podcast_episode,Carmilla
podcast_episode,The Terrible Old Man
podcast_episode,The Screaming Skull
podcast_episode,The Electric Executioner
podcast_episode,Through the Gates of the Silver Key
podcast_episode,The Camp of the Dog
podcast_episode,The Dream
podcast_episode,The Evil Clergyman & The Horror in the Burying
podcast_episode,The School Friend
podcast_episode,The Turn of the Screw
podcast_episode,The Vampyre
podcast_episode,Green Magic
podcast_episode,The Were
podcast_episode,The Possibility of Evil
podcast_episode,The Brood of Bubastis
podcast_episode,The Monster Maker
podcast_episode,Ex Oblivione & The Nameless City
podcast_episode,Winged Death
podcast_episode,Ashes
podcast_episode,The Burial of the Rats
podcast_episode,The Nameless Offspring
podcast_episode,Unseen — Unfeared
podcast_episode,The Veldt
podcast_episode,The Soul of Laploshka & The Open Window
podcast_episode,Christmas Re
podcast_episode,Hop
podcast_episode,Pickman’s Model
podcast_episode,The Hour That Stretches
podcast_episode,The Loved Dead
podcast_episode,What Was It?
podcast_episode,Skulls in the Stars
podcast_episode,The Street That Wasn't There
podcast_episode,The Red Room
podcast_episode,Mr. Arcularis
podcast_episode,The White Wolf of the Hartz Mountains
podcast_episode,The Shadow from the Steeple
podcast_episode,The Most Dangerous Game
podcast_episode,The Phantom Coach
podcast_episode,One of Cleopatra’s Nights
podcast_episode,Fungi from Yuggoth
podcast_episode,The Temple
podcast_episode,The Floor Above
podcast_episode,A Very Old Man with Enormous Wings
podcast_episode,The Call of Wings
podcast_episode,The Three Sailors’ Gambit & The Riddle
podcast_episode,The Lair of the White Worm
podcast_episode,Concerning Corinna
podcast_episode,The Pool
podcast_episode,The Jar
podcast_episode,The Spider
podcast_episode,The Day of the Dragon
podcast_episode,IT
podcast_episode,THE XIPÉHUZ
podcast_episode,The Man of Stone
podcast_episode,The Night Ocean
podcast_episode,The Bed by the Window
podcast_episode,The Premature Burial
podcast_episode,The Snout
podcast_episode,The Colour Out of Space Revisited
podcast_episode,Two Black Bottles
podcast_episode,The Familiar
podcast_episode,Empire of the Necromancers
podcast_episode,Mimic
podcast_episode,He
podcast_episode,A Visitor from Down Under
podcast_episode,From the Dead
podcast_episode,Bartleby the Scrivener
podcast_episode,Who Goes There?
podcast_episode,The Thing on the Roof
podcast_episode,The Werewolf of Paris
